,id,tweet,label,category,loc
227,'382830219968909312',RT @allaboutmqm: Video: #MQM Sends Relief Goods Worth Millions of Rupees to Quake-Affected People of #Balochistan #MQM #Pakistan http://t.câ€¦,on-topic,earthquake,"{'word': 'Pakistan', 'spans': [{'start': 120, 'end': 128}], 'country_predicted': 'PAK', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '30', 'lon': '70', 'country_code3': 'PAK', 'geonameid': '1168579', 'place_name': 'Islamic Republic of Pakistan', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
228,'337206605701595137',"RT @rickygervais: “@MTVNews: Beyoncé, Rihanna & Katy Perry send prayers to #Oklahoma #PrayForOklahoma”\\I feel like an idiot now...I only s…",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 76, 'end': 84}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
229,'324895826541428736',CAUGHT ON CAMERA Fertilizer Plant Explosion Near Waco Texas: http://t.co/Qm9rVmDwsl via @YouTube,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 54, 'end': 59}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
230,'349567368470605827',RT @nationalpost: Inside the Saddledome: Photos reveal scale of the damage in Calgary Flames’ flood-ravaged home http://t.co/HOX8Zm8LLi,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 78, 'end': 85}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
231,'324735073041645569',RT @mzalat: Scary image of the explosion in #texas looking like a micro nuclear bomb http://t.co/Px3W0YPHxN,on-topic,explosion,"{'word': 'texas', 'spans': [{'start': 45, 'end': 50}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
232,'325271433389428736',Uncle of Boston bomb suspects: What I think was behind it: Being losers  via @NBCNews,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 9, 'end': 15}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
233,'323919135539097603',RT @911BUFF: BOSTON: POLICE AND FBI URGING ANYONE WITH VIDEO OF THE FINISH LINE AT THE TIME OF THE EXPLOSION SHOULD PLEASE COME FORWARD. ...,on-topic,bombing,"{'word': 'BOSTON', 'spans': [{'start': 13, 'end': 19}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
234,'325558035693056000',Texas Fertilizer Plant Explosion: 14 Bodies Recovered From Scene - Huffington Post http://t.co/Kafa9atKdv,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 0, 'end': 5}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
235,'324346047851806724',If I see you trying to use the Boston terrorist attack to try to link President Obama to bill Aryers or for... http://t.co/UF8n4StyvW,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 31, 'end': 37}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
236,'348295178202779649',#CSChucks @CSChuckwagons Calgary Sun video of flooding at Stampede Park http://t.co/jC29bZxGEk,on-topic,floods,"{'word': 'Stampede Park', 'spans': [{'start': 58, 'end': 71}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Idaho', 'lat': '42.90547', 'lon': '-111.55161', 'country_code3': 'USA', 'geonameid': '5595544', 'place_name': 'Henry Stampede Park', 'feature_class': 'L', 'feature_code': 'PRK'}}"
238,'295501176001138689',RT @BelieberOfAUS: Queensland is going through the floods.... Again and now NSW is expected to flood. Oh the joy.,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 19, 'end': 29}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
239,'336659552999182336',"RT @MicheleBachmann: The devastation in Oklahoma breaks my heart, and my prayers are with everyone affected by the tornado.",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 40, 'end': 48}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
240,'324743114080268288',"RT @RedCrossDFW: RT @HumanityRoad: Emergency hotline set up for people needing info on loved ones in #West, #TX - 254-202-1100. #TXFire  ...",on-topic,explosion,"{'word': 'TX', 'spans': [{'start': 109, 'end': 111}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Texas', 'lat': '32.7585', 'lon': '-97.8085', 'country_code3': 'USA', 'geonameid': '6480279', 'place_name': 'Ramada Limited Weatherford Tx', 'feature_class': 'S', 'feature_code': 'HTL'}}"
241,'591903296870162432',Nepal earthquake: Nine New Zealanders still unaccounted for http://t.co/W44ZgV4oAn via @nzherald,on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 0, 'end': 5}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
242,'324879352800104448',"RT @TheAtlantic: Hundreds hurt, dozens feared dead after fertilizer plant explosion near Waco, Texas http://t.co/EzyEoZho25",on-topic,explosion,"{'word': 'Waco', 'spans': [{'start': 89, 'end': 93}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.54933', 'lon': '-97.14667', 'country_code3': 'USA', 'geonameid': '4739526', 'place_name': 'Waco', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
243,'262890138047234049',U.K. stocks fall on potential Hurricane Sandy costs http://t.co/FQw6Us4a,on-topic,hurricane,"{'word': 'U.K.', 'spans': [{'start': 0, 'end': 4}], 'country_predicted': 'GBR', 'country_conf': 0.9048774, 'geo': {'admin1': 'NA', 'lat': '54.75844', 'lon': '-2.69531', 'country_code3': 'GBR', 'geonameid': '2635167', 'place_name': 'United Kingdom of Great Britain and Northern Ireland', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
244,'325245575492689920',"RT @BBCBreaking: 12 confirmed dead, approximately 200 injured in #West fertiliser plant explosion in Texas, say state officials",on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 101, 'end': 106}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
245,'348695338737086464',"RT @BrettMineer: If CO, CA, AZ wildfires bother you - or once in a century flooding for 2nd time in 8yrs in Alberta - match relief donati…",on-topic,floods,"{'word': 'Alberta', 'spans': [{'start': 108, 'end': 115}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '52.28333', 'lon': '-117.469', 'country_code3': 'CAN', 'geonameid': '5883102', 'place_name': 'Alberta', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
246,'324885047649894401',RT @mashable: Here's a Google map showing key points of interest from the Texas plant explosion http://t.co/EeEroOWnlJ,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 74, 'end': 79}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
247,'451188275726667777',"RT @wfaachannel8: #Chile rocked by 7.8-magnitude #earthquake, 24 hours after another big quake  STORY: http://t.co/tN1OWtlAEh http://t.co/xäó_",on-topic,earthquake,"{'word': 'Chile', 'spans': [{'start': 19, 'end': 24}], 'country_predicted': 'CHL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-30', 'lon': '-71', 'country_code3': 'CHL', 'geonameid': '3895114', 'place_name': 'Republic of Chile', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
248,'323968800364036096',Police: Three dead after blasts at Boston race: Boston police say at least three people are dead as a ... http://t.co/r3K8OPiytU #sports,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 35, 'end': 41}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
249,'336747606137008129',Oklahoma Tornado: Up To 91 People Killed http://t.co/KIlAiNYRnR,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 0, 'end': 8}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
250,'351170271719342080',RT @660News: Outdoor water ban lifted in Calgary as of midnight tonight #yycflood,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 41, 'end': 48}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
251,'591902880900120577',"RT @SueDHellmann: Terribly sad news. @AP: BREAKING: Nepal police say at least 1,130 dead in massive earthquake centered outside of Kathmand‰Û_",on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 52, 'end': 57}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
252,'382831884192845824',22+ dead as powerful new #earthquake hits #Pakistan. http://t.co/AX7siw3kZw,on-topic,earthquake,"{'word': 'Pakistan', 'spans': [{'start': 43, 'end': 51}], 'country_predicted': 'PAK', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '30', 'lon': '70', 'country_code3': 'PAK', 'geonameid': '1168579', 'place_name': 'Islamic Republic of Pakistan', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
253,'295781909265543168',RT @melissa_harries: I think every school should magically flood instead of Queensland.,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 76, 'end': 86}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
254,'295758076034809857',Thinking of those in regional Australia under flood. Just weeks ago our regions were burning. #tassie #bushfires #qld #floods,on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 30, 'end': 39}], 'country_predicted': 'AUS', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
255,'382828491827187713',RT @kkfpk: Pic-3 #KKF send relief goods for #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/8Wqelg9l8P,on-topic,earthquake,"{'word': 'Balochistan', 'spans': [{'start': 45, 'end': 56}], 'country_predicted': 'PAK', 'country_conf': 0.7756362, 'geo': {'admin1': 'Balochistān', 'lat': '28.47849', 'lon': '65.64355', 'country_code3': 'PAK', 'geonameid': '1183606', 'place_name': 'Balochistan', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
256,'325114180694847488',RT @911BUFF: BOSTON UNDER ATTACK! ONE SUSPECT IN CUSTODY. SECOND ON A FOOT PURSUIT THROWING GRENADES ON POLICE! #911BUFF,on-topic,bombing,"{'word': 'BOSTON', 'spans': [{'start': 13, 'end': 19}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
257,'324928796778184705',RT @ylichterman: awful RT @elanazak: Heartbreaking. Cambridge newlyweds are now both amputees after Boston blasts: http://t.co/5PY4aahVS ...,on-topic,bombing,"{'word': 'Cambridge', 'spans': [{'start': 52, 'end': 61}], 'country_predicted': 'GBR', 'country_conf': 0.87992215, 'geo': {'admin1': 'England', 'lat': '52.33333', 'lon': '0.08333', 'country_code3': 'GBR', 'geonameid': '2653940', 'place_name': 'Cambridgeshire', 'feature_class': 'A', 'feature_code': 'ADM2'}}"
259,'324728481625804801',"RT @rptlindseyhenry: Explosion at a West Texas,Texas fertilizer plant, possibly 100 people injured...",on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 41, 'end': 46}], 'country_predicted': 'USA', 'country_conf': 0.961249, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
260,'382828303620386818',"USGS reports a M1.2 #earthquake 6km SSW of Cabazon, California on 9/28/13 @ 2:23:06 UTC http://t.co/oNFnZKf9YQ #quake",on-topic,earthquake,"{'word': 'Cabazon', 'spans': [{'start': 43, 'end': 50}], 'country_predicted': 'USA', 'country_conf': 0.89529574, 'geo': {'admin1': 'California', 'lat': '33.91752', 'lon': '-116.78724', 'country_code3': 'USA', 'geonameid': '5332374', 'place_name': 'Cabazon', 'feature_class': 'P', 'feature_code': 'PPL'}}"
261,'295650800808640513',Thinking of those in the floods in QLD. Can't believe the Lockyer Valley is under water again. #StaySafe,on-topic,floods,"{'word': 'QLD', 'spans': [{'start': 35, 'end': 38}], 'country_predicted': 'AUS', 'country_conf': 0.7178229, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
263,'348652212723007489',"RT @OperSledDogs: FOUND Siberian Husky #yycflood\\Contact:  403-938-9311\Location:  Okotoks, Alberta (Sheep River area)... http://t.co/2Z7x…",on-topic,floods,"{'word': 'Okotoks', 'spans': [{'start': 84, 'end': 91}], 'country_predicted': 'CAN', 'country_conf': 0.9048774, 'geo': {'admin1': 'Alberta', 'lat': '50.72885', 'lon': '-113.98281', 'country_code3': 'CAN', 'geonameid': '6093010', 'place_name': 'Okotoks', 'feature_class': 'P', 'feature_code': 'PPL'}}"
266,'325256926625673217',"RT @BBCBreaking: 12 confirmed dead, approximately 200 injured in #West fertiliser plant explosion in Texas, say state officials",on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 101, 'end': 106}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
267,'591903077399195648',"8 dead in Mount Everest avalanche after Nepal quake: At least eight people are dead and others missing, follow... http://t.co/OXsimKbn2q",on-topic,earthquake,"{'word': 'Mount Everest', 'spans': [{'start': 10, 'end': 23}], 'country_predicted': 'NPL', 'country_conf': 0.69099617, 'geo': {'admin1': 'NA', 'lat': '27.98791', 'lon': '86.92529', 'country_code3': 'NPL', 'geonameid': '1283416', 'place_name': 'Mount Everest', 'feature_class': 'T', 'feature_code': 'MT'}}"
268,'348979472143380480',@D415Y_73 Yep. My cousin said the flooding was mainly in Calgary.,on-topic,floods,"{'word': 'Calgary', 'spans': [{'start': 57, 'end': 64}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '51.05011', 'lon': '-114.08529', 'country_code3': 'CAN', 'geonameid': '5913490', 'place_name': 'Calgary', 'feature_class': 'P', 'feature_code': 'PPL'}}"
269,'336782239469805569',RT @JihadiJew: A call for disaster relief in Oklahoma!  Please pass it on. https://t.co/kHZfDjDuQZ,on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 45, 'end': 53}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
270,'349749878961881091',RT @LukaszukMLA: Alberta's municipal leaders have shown tremendous courage & leadership during #abflood. Thank you for your hard work & ded…,on-topic,floods,"{'word': 'Alberta', 'spans': [{'start': 17, 'end': 24}], 'country_predicted': 'CAN', 'country_conf': 0.87992215, 'geo': {'admin1': 'Alberta', 'lat': '52.28333', 'lon': '-117.469', 'country_code3': 'CAN', 'geonameid': '5883102', 'place_name': 'Alberta', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
271,'295764551662702592',Live streaming coverage of the Queensland flood crisis http://t.co/E8LZoQeu #QldFloods,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 31, 'end': 41}], 'country_predicted': 'AUS', 'country_conf': 0.957188, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
272,'325066563420028928',"RT @thejentch26: @masnOrioles @masnRoch please keep us Orioles fans in your prayers from down here in West, TX. #WestFD #westexploison #wes",on-topic,explosion,"{'word': 'TX', 'spans': [{'start': 108, 'end': 110}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Texas', 'lat': '32.7585', 'lon': '-97.8085', 'country_code3': 'USA', 'geonameid': '6480279', 'place_name': 'Ramada Limited Weatherford Tx', 'feature_class': 'S', 'feature_code': 'HTL'}}"
273,'324944328973770754',Eyewitness captures video of TX explosion: An eyewitness has captured video of the massive explosion ... http://t.co/A2cf79QxIT #memphis,on-topic,explosion,"{'word': 'TX', 'spans': [{'start': 29, 'end': 31}], 'country_predicted': 'USA', 'country_conf': 0.96374094, 'geo': {'admin1': 'Texas', 'lat': '32.7585', 'lon': '-97.8085', 'country_code3': 'USA', 'geonameid': '6480279', 'place_name': 'Ramada Limited Weatherford Tx', 'feature_class': 'S', 'feature_code': 'HTL'}}"
274,'336898182871138304',"RT @lpga: Players, caddies and staff will wear red ribbons this week in support if Oklahoma. #PrayForOklahoma http://t.co/vx4AHGX2JE",on-topic,tornado,"{'word': 'Oklahoma', 'spans': [{'start': 83, 'end': 91}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Oklahoma', 'lat': '35.49209', 'lon': '-97.50328', 'country_code3': 'USA', 'geonameid': '4544379', 'place_name': 'Oklahoma', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
275,'325259695700987904',Boston is on official army lockdown. Stay inside and stay safe everyone.,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 0, 'end': 6}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
276,'296217566513340417',"Hearts go out out to the flood affected in Australia, and also to those in Mozambique, Africa. Also hit hard, 36 dead 70000 displaced.. ?????",on-topic,floods,"{'word': 'Australia', 'spans': [{'start': 43, 'end': 52}], 'country_predicted': 'AUS', 'country_conf': 0.9544747, 'geo': {'admin1': 'NA', 'lat': '-25', 'lon': '135', 'country_code3': 'AUS', 'geonameid': '2077456', 'place_name': 'Commonwealth of Australia', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
277,'325397348899500032',"RT @RealDasch: This week: Boston bombs, Texas explosion, 14 year olds kill homeless man, and now gunfire at MIT in Boston. Jesus, this worl…",on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 26, 'end': 32}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
278,'295756602621952000',Queensland's flood crisis deepens as death toll rises to three - The Australian http://t.co/ufNm3NIA,on-topic,floods,"{'word': 'Queensland', 'spans': [{'start': 0, 'end': 10}], 'country_predicted': 'AUS', 'country_conf': 0.9634983, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
279,'325015485248856064',RT @NewYorkFBI: Video of the #Boston bombing suspects is also available on the #FBI YouTube channel here: http://t.co/aD2Q11WyOd #Boston ...,on-topic,bombing,"{'word': 'Boston', 'spans': [{'start': 30, 'end': 36}], 'country_predicted': 'USA', 'country_conf': 0.957188, 'geo': {'admin1': 'Massachusetts', 'lat': '42.35843', 'lon': '-71.05977', 'country_code3': 'USA', 'geonameid': '4930956', 'place_name': 'Boston', 'feature_class': 'P', 'feature_code': 'PPLA'}}"
280,'324739741146820608',Huge explosion at fertilizer plant in Texas.....many homes destroyed @FoxNews @FoxNewsInsider,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 38, 'end': 43}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
281,'296371612616359936',qld flood: Queensland flood crisis reaches new heights - ABC News (Australian Broadcasting Corporation)\qld floo... http://t.co/wgEgL3WT,on-topic,floods,"{'word': 'qld', 'spans': [{'start': 0, 'end': 3}], 'country_predicted': 'AUS', 'country_conf': 0.7756362, 'geo': {'admin1': 'Queensland', 'lat': '-20', 'lon': '145', 'country_code3': 'AUS', 'geonameid': '2152274', 'place_name': 'State of Queensland', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
282,'324813676991365121',Video: Amateur footage captures Texas fertiliser plant explosion: A bystander has captured the moment a fertil... http://t.co/vMkmrC1mnO,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 32, 'end': 37}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
283,'324760750847582208',RT @JGav213: @STHERRRA Did a Tornie or Hurri hit Texas? RT @ciara: PrayingforTexas  It was a bomb explosion.,on-topic,explosion,"{'word': 'Texas', 'spans': [{'start': 49, 'end': 54}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.25044', 'lon': '-99.25061', 'country_code3': 'USA', 'geonameid': '4736286', 'place_name': 'Texas', 'feature_class': 'A', 'feature_code': 'ADM1'}}"
285,'295677057600458752',Race on to save flood victims in Bundaberg: Queensland police have told people stranded in Bundaberg to climb onto their roofs as hel...,on-topic,floods,"{'word': 'Bundaberg', 'spans': [{'start': 33, 'end': 42}], 'country_predicted': 'AUS', 'country_conf': 0.9048774, 'geo': {'admin1': 'Queensland', 'lat': '-24.97305', 'lon': '151.98442', 'country_code3': 'AUS', 'geonameid': '7839564', 'place_name': 'Bundaberg', 'feature_class': 'A', 'feature_code': 'ADM2'}}"
286,'451187786821816321',RT @AdorkableAriel: my prayers to all of you in Chile #PrayForChile,on-topic,earthquake,"{'word': 'Chile', 'spans': [{'start': 48, 'end': 53}], 'country_predicted': 'CHL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '-30', 'lon': '-71', 'country_code3': 'CHL', 'geonameid': '3895114', 'place_name': 'Republic of Chile', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
287,'382833058048929793',Atlantis theories welcomed. RT @AnupKaphle: Here's the island that rose from the sea after #Pakistan earthquake. http://t.co/UcekDQI52u,on-topic,earthquake,"{'word': 'Pakistan', 'spans': [{'start': 92, 'end': 100}], 'country_predicted': 'PAK', 'country_conf': 0.68758196, 'geo': {'admin1': 'NA', 'lat': '30', 'lon': '70', 'country_code3': 'PAK', 'geonameid': '1168579', 'place_name': 'Islamic Republic of Pakistan', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
289,'324986344239673346',"RT @thedailybeast: See dramatic photos of the fertilizer-plant explosion near Waco, Texas http://t.co/T0R3Iqki9n http://t.co/HAvaNygh9a",on-topic,explosion,"{'word': 'Waco', 'spans': [{'start': 78, 'end': 82}], 'country_predicted': 'USA', 'country_conf': 0.9634983, 'geo': {'admin1': 'Texas', 'lat': '31.54933', 'lon': '-97.14667', 'country_code3': 'USA', 'geonameid': '4739526', 'place_name': 'Waco', 'feature_class': 'P', 'feature_code': 'PPLA2'}}"
290,'591903308786307072',RT @SteepSkiing: Our good friends at @larkburger are donating 10% of revenue today to earthquake relief in Nepal. Go get an Ahi burger and ‰Û_,on-topic,earthquake,"{'word': 'Nepal', 'spans': [{'start': 107, 'end': 112}], 'country_predicted': 'NPL', 'country_conf': 0.9516948, 'geo': {'admin1': 'NA', 'lat': '28', 'lon': '84', 'country_code3': 'NPL', 'geonameid': '1282988', 'place_name': 'Federal Democratic Republic of Nepal', 'feature_class': 'A', 'feature_code': 'PCLI'}}"
